类型,扫描提交,发现日期,代码,公司,事件,快照状态,后续报告,说明
首次研究候选,0bd4793f95cfed976caa9eda66afa3feb62810c1,2026-08-24,CN:301601,惠通科技,公司在公开平台中标30万吨涤纶化纤项目设备采购及安装工程，中标价3.6576亿元，显著高于公司近年扣非利润规模；尽管尚未取得正式中标通知书，潜在合同已足以显著影响订单、收入确认和执行风险，值得完整研究。,candidate,,event-a2-20260824-003723
首次研究候选,214fa0968f478b4db9153d0285ae23becc1d3e54,2026-08-22,CN:002084,海鸥住工,控股股东拟分别转让20.00%和5.01%股份，交易完成后实际控制人将变更为应臻恺；控制权和治理结构发生重大变化。,candidate,,event-a2-20260822-003526
首次研究候选,214fa0968f478b4db9153d0285ae23becc1d3e54,2026-08-22,CN:002277,友阿股份,修订交易拟以158亿元收购尚阳通100%股权并募集不超过55亿元配套资金，交易将把持续亏损的零售公司重塑为半导体企业，资产、股本和业务边界发生根本变化。,covered,research/companies/CN/002277/reports/2026-09-05.md,event-a2-20260822-003526
首次研究候选,214fa0968f478b4db9153d0285ae23becc1d3e54,2026-08-22,CN:300936,中英科技,公司拟以5.5998亿元现金收购英中电气51%股权，交易构成重大资产重组，标的资产、净资产和收入指标均超过上市公司50%，且承诺2026—2028年累计扣非前后孰低净利润3.6亿元；业务结构和资本配置将被重塑。,candidate,,event-a2-20260822-003526
首次研究候选,214fa0968f478b4db9153d0285ae23becc1d3e54,2026-08-22,CN:301051,信濠光电,公司拟以不超过9.5亿元收购迪滴新能源100%股权，标的2025年收入5.47亿元、净利润1.92亿元；相对约39亿元基线市值，跨界收购、并购贷款和合并边界均属重大变化。,candidate,,event-a2-20260822-003526
首次研究候选,214fa0968f478b4db9153d0285ae23becc1d3e54,2026-08-22,CN:301127,武汉天源,公司拟投资4.04亿元建设100MW/400MWh储能电站，其中银行贷款3.23亿元，计划把储能升级为核心增长极但未披露可核验收益率；高杠杆战略扩张足以启动完整研究。,candidate,,event-a2-20260822-003526
首次研究候选,214fa0968f478b4db9153d0285ae23becc1d3e54,2026-08-22,CN:600063,皖维高新,公司拟投资5.764亿元建设10万吨VAE乳液和5万吨胶粉项目，分别相当于现有效能约50%和45%，建设期三年、税后IRR仅7.66%；新增产能与资本回报对公司价值具有实质影响。,candidate,,event-a2-20260822-003526
首次研究候选,214fa0968f478b4db9153d0285ae23becc1d3e54,2026-08-22,CN:600377,宁沪高速,公司拟以73.4143亿元现金收购苏锡常南部高速100%股权，交易超过最近净资产5%，标的2025年扭亏且收购为此前终止交易的重启；资产结构、债务与股东回报将显著变化。,candidate,,event-a2-20260822-003526
首次研究候选,214fa0968f478b4db9153d0285ae23becc1d3e54,2026-08-22,CN:600408,安泰集团,公司拟定增不超过6.88亿元，相对约26亿元基线市值规模显著，资金将用于焦化技改及偿债，资本结构和持续亏损业务的经营边界需要完整研究。,candidate,,event-a2-20260822-003526
首次研究候选,214fa0968f478b4db9153d0285ae23becc1d3e54,2026-08-22,CN:600449,宁夏建材,公司与控股股东签署意向协议，拟收购中建材石墨100%股权并纳入合并报表；标的业务、资产和利润体量足以改变现有水泥业务结构。,covered,research/companies/CN/600449/reports/2026-08-30.md,event-a2-20260822-003526
首次研究候选,214fa0968f478b4db9153d0285ae23becc1d3e54,2026-08-22,CN:600549,厦门钨业,公司拟以5.933亿元收购江西巨通30.1683%股权并通过一致行动取得控制、纳入合并报表；标的持有大湖塘钨矿且尚未建设投产，资源储备、后续资本开支和项目风险将显著改变。,candidate,,event-a2-20260822-003526
首次研究候选,214fa0968f478b4db9153d0285ae23becc1d3e54,2026-08-22,CN:603285,键邦股份,公司拟以2.779亿元跨界收购两家自动化设备企业各55%股权，预计形成约1.54亿元商誉；标的审计前存在收入确认、费用、减值和薪酬核算偏差，且附三年业绩承诺，足以启动完整研究。,candidate,,event-a2-20260822-003526
首次研究候选,214fa0968f478b4db9153d0285ae23becc1d3e54,2026-08-22,CN:603958,哈森股份,修订交易拟以2.916亿元发行股份收购苏州郎克斯45%股权并取得100%控制，标的2025年收入6.75亿元、净利润0.62亿元，足以重塑持续亏损上市公司的盈利与股本结构。,candidate,,event-a2-20260822-003526
首次研究候选,33e7bf17cf93a3e26fde06d55c31fd5dd873ac8e,2026-08-20,CN:920057,百甲科技,公司中标中国移动宁夏中卫数据中心EPC项目，含税中标额3.296亿元且公司承担除约542万元联合体设计费用外的主要份额；相对于约8亿元总市值与此前疲弱现金流，这是主营业务向AI算力基础设施应用扩展的重大订单，值得完整核验合同转化、利润率、营运资金和履约风险。,ignore,research/companies/CN/920057/reports/2026-08-30.md,event-a2-20260820-184047
首次研究候选,3219a00bb99f0d0c3bd6560740de8655731f7b6a,2026-08-20,CN:002346,柘中股份,柘中股份拟以股权受让加3亿元增资取得尚未盈利的杰创科技53.19%股权并纳入合并报表，进入VCSEL芯片业务且将形成商誉，业务、合并和风险边界发生重大变化。,ignore,research/companies/CN/002346/reports/2026-08-30.md,event-a2-20260820-1305
首次研究候选,3219a00bb99f0d0c3bd6560740de8655731f7b6a,2026-08-20,CN:600795,国电电力,国电电力启动现金收购控股股东旗下多家常规能源发电公司，涉及约32万千瓦在运及1354万千瓦在建或拟建控股装机，未来资产和资本开支边界可能显著改变。,covered,research/companies/CN/600795/reports/2026-08-30.md,event-a2-20260820-1305
首次研究候选,3219a00bb99f0d0c3bd6560740de8655731f7b6a,2026-08-20,CN:603629,利通电子,利通电子披露不超过50亿元定增预案，其中40亿元投向智算中心建设、10亿元补流，融资规模和算力业务资本开支将显著重塑资产负债与业务结构，值得完整研究。,covered,research/companies/CN/603629/reports/2026-08-30.md,event-a2-20260820-1305
首次研究候选,3219a00bb99f0d0c3bd6560740de8655731f7b6a,2026-08-20,CN:688286,敏芯股份,敏芯股份拟以1.77亿元股权收购及增资取得浦丹光电54%股权并纳入合并报表，同时拟募资不超过2.12亿元，业务边界、商誉和资本结构均发生重大变化。,ignore,research/companies/CN/688286/reports/2026-08-30.md,event-a2-20260820-1305
首次研究候选,dc88eaced59df9e97bf250048ec9465ee67a16b2,2026-08-19,CN:000688,国城矿业,国城矿业完成约23.68亿元现金收购国城实业40%股权，标的成为全资子公司，合并边界、资源储量与资本结构发生重大变化。,covered,research/companies/CN/000688/reports/2026-08-30.md,event-scan-2026-08-19T003240+0800
首次研究候选,dc88eaced59df9e97bf250048ec9465ee67a16b2,2026-08-19,CN:001208,华菱线缆,华菱线缆已现金取得安徽三竹35%股权并取得控制权，修订方案拟再以9163万元可转债收购35%股权并配套募资不超4000万元，业务与合并边界发生实质变化。,ignore,research/companies/CN/001208/reports/2026-08-30.md,event-scan-2026-08-19T003240+0800
首次研究候选,dc88eaced59df9e97bf250048ec9465ee67a16b2,2026-08-19,CN:002219,新里程,新里程拟以4.3714亿元取得泽普医疗51%股权，预计形成2.1至2.4亿元商誉，医疗业务边界、资本配置与减值风险均发生重大变化。,covered,research/companies/CN/002219/reports/2026-08-30.md,event-scan-2026-08-19T003240+0800
首次研究候选,dc88eaced59df9e97bf250048ec9465ee67a16b2,2026-08-19,CN:300615,欣天科技,欣天科技22.5%股份拟以约7.20亿元转让并导致实际控制人变更，治理和资本配置边界发生重大变化，值得完整研究。,ignore,research/companies/CN/300615/reports/2026-08-30.md,event-scan-2026-08-19T003240+0800
首次研究候选,dc88eaced59df9e97bf250048ec9465ee67a16b2,2026-08-19,CN:603637,镇海股份,镇海股份原控股股东拟以5.553亿元转让15%股份，受让方将推荐过半数董事并使实控人变更为张文龙，治理边界发生重大变化。,covered,research/companies/CN/603637/reports/2026-08-30.md,event-scan-2026-08-19T003240+0800
首次研究候选,dc88eaced59df9e97bf250048ec9465ee67a16b2,2026-08-19,CN:688165,埃夫特-U,埃夫特-U拟以约10.737亿元收购盛普股份100%股权，备考收入和业务组合明显扩大，重大整合足以重新评估此前ignore结论。,ignore,research/companies/CN/688165/reports/2026-08-30.md,event-scan-2026-08-19T003240+0800
首次研究候选,e2e548bce71347afe2ce34c62f1bd425459d5c73,2026-08-18,CN:300688,创业黑马,公司拟以2.8亿元收购版信通100%股权，其中股份对价1.472亿元、现金对价1.328亿元，并募集配套资金不超过1.472亿元；交易作价约占上市公司净资产66.09%，构成重大资产重组，业务结构和治理边界均可能实质变化。,covered,research/companies/CN/300688/reports/2026-08-30.md,event-scan-2026-08-18T18:38:23+08:00
首次研究候选,e2e548bce71347afe2ce34c62f1bd425459d5c73,2026-08-18,CN:300911,亿田智能,子公司签署10亿元算力中心项目建设合同，其中设备8.32亿元、集成服务1.68亿元；相对原有厨电业务，该合同代表大规模资产和业务结构变化，需要完整核验资金来源、交易对手、履约能力、现金流和资本回报。,ignore,research/companies/CN/300911/reports/2026-08-30.md,event-scan-2026-08-18T18:38:23+08:00
首次研究候选,e2e548bce71347afe2ce34c62f1bd425459d5c73,2026-08-18,CN:301368,丰立智能,"向特定对象发行已完成，发行21,049,596股、价格34.68元，募集7.30亿元、净募集7.22亿元，新增股份约相当于发行前股本17.5%；资本结构和募投资金基础已发生显著变化，值得完整研究。",covered,research/companies/CN/301368/reports/2026-08-30.md,event-scan-2026-08-18T18:38:23+08:00
首次研究候选,e2e548bce71347afe2ce34c62f1bd425459d5c73,2026-08-18,CN:920438,戈碧迦,公司拟向特定对象发行最多800万股、募集不超过4亿元，其中3.1亿元投入总投资4.437亿元的高温特种功能玻璃生产线，0.9亿元补充流动资金；扩产与摊薄规模足以改变资本结构和中期经营，需要完整研究商业、财务、治理、估值与风险。,covered,research/companies/CN/920438/reports/2026-08-30.md,event-scan-2026-08-18T18:38:23+08:00
首次研究候选,da61bf36458ef8d2a1376e1bd98a83111a29c3fa,2026-08-18,CN:000153,丰原药业,公司签署21.53%股权转让协议，控股股东拟变更为蚌埠投资集团、实际控制人拟变更为蚌埠市国资委，控制权与治理结构发生重大变化。,ignore,research/companies/CN/000153/reports/2026-08-24.md,event-a2-20260818-063237
首次研究候选,da61bf36458ef8d2a1376e1bd98a83111a29c3fa,2026-08-18,CN:000620,盈新发展,董事会审议定向增发不超过17.79亿元，其中10.53亿元投向先进封装与存储模组、2.06亿元投向存储控制器研发，构成重大业务方向与资本结构变化。,ignore,research/companies/CN/000620/reports/2026-08-30.md,event-a2-20260818-063237
首次研究候选,da61bf36458ef8d2a1376e1bd98a83111a29c3fa,2026-08-18,CN:002906,华阳集团,控股股东筹划向深圳市投资控股有限公司转让股份，交易可能导致公司控制权变更，治理与产业协同假设需要完整研究。,covered,research/companies/CN/002906/reports/2026-08-30.md,event-a2-20260818-063237
首次研究候选,da61bf36458ef8d2a1376e1bd98a83111a29c3fa,2026-08-18,CN:300243,瑞丰高材,公司签署框架协议拟取得迈拓新材料至少51%控制权，标的100%股权初步估值6亿至8亿元，相对公司体量重大并可能拓展电子级环氧与低介电材料业务。,covered,research/companies/CN/300243/reports/2026-08-30.md,event-a2-20260818-063237
首次研究候选,da61bf36458ef8d2a1376e1bd98a83111a29c3fa,2026-08-18,CN:301106,骏成科技,公司拟收购江苏新通达额外50%股权并取得控制权，预计构成重大资产重组及关联交易，业务边界、治理和估值需要完整研究。,ignore,research/companies/CN/301106/reports/2026-08-27.md,event-a2-20260818-063237
首次研究候选,da61bf36458ef8d2a1376e1bd98a83111a29c3fa,2026-08-18,CN:600195,中牧股份,公司拟以公开摘牌方式合计7.27亿元收购河北圣雪大成51%及内蒙古子公司72.7272%股权，交易相对公司体量重大并将改变资产与盈利结构。,covered,research/companies/CN/600195/reports/2026-08-30.md,event-a2-20260818-063237
首次研究候选,9d70e48ca46e062687d28db674906752344dec9f,2026-08-17,CN:301550,斯菱智驱,"2026-08-17定增预案拟募集不超过18亿元、发行不超过现有股本30%，其中15亿元投入汽车零部件和机器人零部件智能制造基地；项目拟新增1,060万套汽车零部件和360万套机器人零部件产能，而机器人业务仍处起步期且项目效益尚未测算，资本结构、产能和业务组合变化足以启动完整研究。",stale,research/companies/CN/301550/reports/2026-08-18.md,event-a2-20260817-183351
首次研究候选,9d70e48ca46e062687d28db674906752344dec9f,2026-08-17,CN:920961,创远信科,2026-08-17披露的重大资产重组三次修订稿及恢复审核进展显示，公司拟以8.863亿元发行股份并支付现金收购微宇天导100%股权；标的2025年收入2.25亿元已超过上市公司同期收入，购买资产发行股份约占交易后股本21.90%，足以重塑业务规模、利润来源和普通股口径，值得按统一标准完成正式研究。,stale,research/companies/CN/920961/reports/2026-08-19.md,event-a2-20260817-183351
首次研究候选,adab77487d5b863f6374d75a691c556f0d8714ec,2026-08-17,CN:002445,中南文化,公告1225476184显示公司拟在原收购江阴苏龙热电57.30%股权的重大资产重组基础上，新增收购江阴热电50.00%股权；调整构成重组方案重大调整，完成后两家发电企业均将成为控股子公司，已构成足以重新判断业务结构、资产质量、融资与关联交易的重大新事实。,covered,research/companies/CN/002445/reports/2026-08-30.md,event-scan-a2-20260817-1225476184
